step,max_kl,lr,steps,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
0,0.01,0.001,600,-4.32344,-0.00232985,-102.745,-102.743,-2.38419e-06,0.0535052,3855.59,82.0885,82.0248,0,0.00582802,1.39068,14.0808,22.6952
1,0.01,0.001,600,-3.60966,-27.2656,-106.434,-79.1688,-0.000285387,0.0747068,3189.42,74.5926,74.5033,0,0.00617028,1.38747,12.9203,41.5638
2,0.01,0.001,600,-3.30459,-52.1609,-118.262,-66.101,-2.43187e-05,0.0630758,2623.61,66.2357,66.1693,0,0.00703321,1.40407,13.8036,61.1032
3,0.01,0.001,600,-3.7791,-75.2564,-145.943,-70.6862,-6.13928e-05,0.0534952,2628.13,65.3546,65.2742,0,0.00753619,1.43767,13.2848,79.8379
4,0.01,0.001,600,-3.37707,-98.9516,-155.15,-56.1989,2.14577e-06,0.0723104,2044.59,56.4888,56.4212,0,0.00752276,1.44533,13.29,98.7607
5,0.01,0.001,600,-3.60265,-120.479,-176.063,-55.5841,7.15256e-07,0.0607479,2025.23,54.7113,54.6452,0,0.00791292,1.43404,12.5994,116.946
6,0.01,0.001,600,-3.32383,-142.396,-187.023,-44.628,-3.33786e-06,0.0618923,1356.22,44.7817,44.7257,0,0.00795355,1.49367,13.3662,135.953
7,0.01,0.001,600,-3.35927,-161.552,-201.883,-40.3311,2.6226e-06,0.065547,1291.35,40.9068,40.8478,0,0.00704664,1.53523,13.1964,154.722
8,0.01,0.001,600,-3.40933,-180.341,-216.837,-36.4953,1.78814e-06,0.065531,1462.01,38.2097,38.1641,0,0.00773547,1.54085,13.1376,173.474
9,0.01,0.001,600,-3.48252,-199.134,-232.489,-33.3548,1.13249e-06,0.0640886,1253.34,32.5739,32.5053,0,0.0078465,1.53332,13.2108,192.561
10,0.01,0.001,600,-3.54447,-216.377,-246.935,-30.5578,-4.76837e-07,0.06745,1293.29,29.7647,29.7115,0,0.00965105,1.50535,12.6552,210.648
11,0.01,0.001,600,-3.68119,-233.325,-261.607,-28.2818,-2.38419e-07,0.0593047,1435.18,25.6415,25.5899,0,0.00738034,1.50759,13.677,229.86
12,0.01,0.001,600,-3.87668,-249.054,-276.4,-27.3466,1.19209e-07,0.0720396,1791.62,25.2926,25.2259,0,0.00594439,1.50619,12.0769,247.109
13,0.01,0.001,600,-3.71276,-265.647,-285.846,-20.1988,0,0.0605683,1957.74,22.1412,22.0895,0,0.0074397,1.51142,12.1614,264.682
